number,description,name,cuisine_name
1,"Hollow out a medium-sized pumpkin, removing seeds and fibers.",Ghapama,Armenian
2,"In a bowl, mix cooked rice with chopped dried fruits (apricots, prunes, raisins), nuts (almonds, walnuts), and honey.",Ghapama,Armenian
3,Fill the pumpkin with the rice mixture and place a lid cut from the top.,Ghapama,Armenian
4,Bake in a preheated oven at 375°F (190°C) until the pumpkin is tender and the filling is heated through.,Ghapama,Armenian
5,"Serve hot, cutting the pumpkin into wedges to expose the sweet, fragrant stuffing.",Ghapama,Armenian
1,Cook chicken in water with salt until tender and the meat falls off the bones.,Harissa,Armenian
2,"Remove the chicken, debone, and shred the meat.",Harissa,Armenian
3,Add washed khorasan wheat to the chicken broth and cook until the wheat is soft and begins to break down.,Harissa,Armenian
4,"Add the shredded chicken back to the pot, continue to cook, stirring frequently, until the mixture becomes porridge-like.",Harissa,Armenian
5,"Serve hot, topped with melted butter and a sprinkle of cinnamon.",Harissa,Armenian
1,"Prepare the dough from flour, yeast, warm water, and salt, and let it rise until doubled in size.",Lahmajoun,Armenian
2,"Mix finely ground lamb or beef with finely diced tomatoes, bell peppers, onion, parsley, and spices.",Lahmajoun,Armenian
3,"Roll the dough into very thin circles, spread the meat mixture thinly on top.",Lahmajoun,Armenian
4,Bake in a very hot oven for about 5 minutes until the edges are crisp and the topping is cooked.,Lahmajoun,Armenian
5,Serve hot with a squeeze of lemon and fresh parsley.,Lahmajoun,Armenian
1,"Blanch broccoli florets in boiling water for 2 minutes, then drain.",Beef and Broccoli,Chinese
2,"Marinate beef slices in a mixture of soy sauce, cornstarch, and a little oil.",Beef and Broccoli,Chinese
3,"Heat oil in a wok, add minced garlic, and stir-fry briefly until fragrant.",Beef and Broccoli,Chinese
4,Add the marinated beef and stir-fry until it starts to brown.,Beef and Broccoli,Chinese
5,Add broccoli and stir-fry for another 2 minutes.,Beef and Broccoli,Chinese
6,"Pour in a mixture of beef stock, oyster sauce, and a splash of soy sauce, and cook until the sauce thickens.",Beef and Broccoli,Chinese
7,Serve hot.,Beef and Broccoli,Chinese
1,Bring chicken broth to a simmer in a pot.,Egg Drop Soup,Chinese
2,"Season the broth with soy sauce, salt, and white pepper.",Egg Drop Soup,Chinese
3,"Slowly pour beaten eggs into the simmering broth, stirring gently to form ribbons.",Egg Drop Soup,Chinese
4,Garnish with chopped green onions and a few drops of sesame oil.,Egg Drop Soup,Chinese
5,Serve hot.,Egg Drop Soup,Chinese
1,Marinate chicken pieces in soy sauce and cornstarch.,Kung Pao Chicken,Chinese
2,Heat oil in a wok and fry dried chilies until just beginning to blacken.,Kung Pao Chicken,Chinese
3,Add chicken to the wok and stir-fry until it turns white.,Kung Pao Chicken,Chinese
4,"Add chopped bell peppers and scallions, stir-fry for a few minutes.",Kung Pao Chicken,Chinese
5,"Pour in the sauce mixture of soy sauce, vinegar, sugar, and water, and cook until thickened.",Kung Pao Chicken,Chinese
6,Stir in roasted peanuts and serve.,Kung Pao Chicken,Chinese
1,Marinate chicken pieces in lemon juice and salt.,Doro Wat,Ethiopian
2,"Cook onions in a dry pot until golden, then add berbere spice and oil, cooking into a paste.",Doro Wat,Ethiopian
3,"Add garlic and ginger, then the marinated chicken, stirring to coat with the spice mixture.",Doro Wat,Ethiopian
4,"Add enough water to cover, bring to a boil, then simmer until the chicken is tender.",Doro Wat,Ethiopian
5,Add hard-boiled eggs to the stew in the last 10 minutes.,Doro Wat,Ethiopian
6,Serve hot with injera.,Doro Wat,Ethiopian
1,"Mix teff flour with water in a bowl until smooth, then cover and let ferment for 1-3 days.",Injera,Ethiopian
2,"After fermentation, stir the batter well and add salt.",Injera,Ethiopian
3,Heat a non-stick pan or griddle over medium heat.,Injera,Ethiopian
4,Pour a ladleful of batter into the pan and quickly swirl to spread in a thin layer.,Injera,Ethiopian
5,Cover and cook for a few minutes until holes form on the surface and edges lift from the pan.,Injera,Ethiopian
6,Remove injera and let cool on a clean cloth. Repeat with remaining batter.,Injera,Ethiopian
1,"Finely chop or grind fresh, lean beef.",Kitfo,Ethiopian
2,Melt niter kibbeh in a pan and mix with mitmita.,Kitfo,Ethiopian
3,"Combine the spiced butter with the raw beef, mixing thoroughly.",Kitfo,Ethiopian
4,Serve immediately with injera and optional ayib (fresh cottage cheese).,Kitfo,Ethiopian
1,Brown the chicken pieces in a large dutch oven.,Coq au Vin,French
2,"Remove chicken and sauté onions, mushrooms, and bacon in the same pot.",Coq au Vin,French
3,Deglaze the pot with red wine and return the chicken to the pot.,Coq au Vin,French
4,"Add garlic, thyme, and bay leaf. Simmer until the chicken is tender.",Coq au Vin,French
5,Thicken the sauce with a butter-flour mixture before serving.,Coq au Vin,French
1,Heat cream with vanilla bean until just hot.,Crème Brûlée,French
2,"Whisk yolks with sugar until pale, then slowly add the hot cream.",Crème Brûlée,French
3,Strain the mixture into ramekins.,Crème Brûlée,French
4,Bake in a water bath until set but still trembling in the center.,Crème Brûlée,French
5,"Cool, then sprinkle sugar on top and torch until caramelized.",Crème Brûlée,French
1,Caramelize the sliced onions in a large pot.,French Onion Soup,French
2,Add beef broth and bring to a simmer.,French Onion Soup,French
3,Season with thyme and bay leaves.,French Onion Soup,French
4,Toast baguette slices topped with grated cheese under a broiler until melted and golden.,French Onion Soup,French
5,Serve the soup hot with the toasted baguette.,French Onion Soup,French
1,Bake chocolate sponge cakes and let them cool.,Black Forest Cake,German
2,Cut the cakes into layers and sprinkle each with cherry schnapps.,Black Forest Cake,German
3,Whip cream with sugar and vanilla until stiff peaks form.,Black Forest Cake,German
4,Assemble the cake by alternating layers of cake with whipped cream and cherries.,Black Forest Cake,German
5,"Decorate the top with whipped cream, chocolate shavings, and whole cherries.",Black Forest Cake,German
6,Chill before serving.,Black Forest Cake,German
1,"Prepare the dough from flour, yeast, water, salt, and a bit of sugar.",Pretzels,German
2,Let the dough rise until doubled.,Pretzels,German
3,"Divide the dough and roll each piece into a long rope, then twist into the traditional pretzel shape.",Pretzels,German
4,Dip each pretzel in a baking soda bath before baking to develop a golden and shiny crust.,Pretzels,German
5,Bake until golden brown and sprinkle with coarse salt while still warm.,Pretzels,German
1,"Marinate the beef roast in a mixture of red wine, vinegar, onions, carrots, and spices for 2-3 days.",Sauerbraten,German
2,"Remove the beef from the marinade, pat dry, and brown in hot oil in a heavy pot.",Sauerbraten,German
3,Strain the marinade and add it to the pot with the beef.,Sauerbraten,German
4,Add crushed ginger snaps to thicken and sweeten the sauce.,Sauerbraten,German
5,Simmer the roast slowly until it is tender.,Sauerbraten,German
6,Slice and serve the roast with the sauce poured over it.,Sauerbraten,German
1,Preheat oven and grease the baking dish.,Baklava,Greek
2,Layer the filo dough with melted butter and chopped nuts.,Baklava,Greek
3,Cut into diamond shapes before baking.,Baklava,Greek
4,Bake until golden and crisp.,Baklava,Greek
5,Pour cooled syrup over the hot baklava immediately after baking.,Baklava,Greek
1,"Chop the cucumbers, tomatoes, and red onion.",Greek Salad (Horiatiki),Greek
2,Combine vegetables in a large bowl.,Greek Salad (Horiatiki),Greek
3,Top with Kalamata olives and crumbled feta cheese.,Greek Salad (Horiatiki),Greek
4,Drizzle with olive oil and sprinkle oregano.,Greek Salad (Horiatiki),Greek
1,"Slice and salt eggplants, then fry until golden.",Moussaka,Greek
2,"Cook ground meat with onions, garlic, and tomatoes.",Moussaka,Greek
3,Layer eggplant and meat mixture in a baking dish.,Moussaka,Greek
4,Prepare béchamel sauce and spread over the top.,Moussaka,Greek
5,Bake until the surface is golden and bubbly.,Moussaka,Greek
1,"Marinate chicken in yogurt, garlic, ginger, and spices for at least 2 hours.",Chicken Biryani,Indian
2,"Cook rice until it's 70% done, then drain.",Chicken Biryani,Indian
3,"Fry onions until golden, then set aside.",Chicken Biryani,Indian
4,Layer the marinated chicken and partially cooked rice in a pot.,Chicken Biryani,Indian
5,Add saffron infused in warm milk for color.,Chicken Biryani,Indian
6,Cover and cook on low heat until the rice is fully cooked and the chicken is tender.,Chicken Biryani,Indian
7,"Garnish with fried onions, nuts, and fresh cilantro.",Chicken Biryani,Indian
1,Peel and chop fresh mangoes.,Mango Lassi,Indian
2,"Blend mangoes with yogurt, milk, sugar, and cardamom until smooth.",Mango Lassi,Indian
3,Chill in the refrigerator for at least one hour.,Mango Lassi,Indian
4,Serve cold garnished with a sprinkle of cardamom powder or mint leaves.,Mango Lassi,Indian
1,"Blanch spinach in hot water, then cool and blend into a fine paste.",Palak Paneer,Indian
2,"Fry paneer cubes until golden, set aside.",Palak Paneer,Indian
3,"In the same pan, sauté onions, tomatoes, garlic, and ginger until soft.",Palak Paneer,Indian
4,"Add the spinach paste, spices, and a little water to the pan.",Palak Paneer,Indian
5,"Simmer for 10 minutes, then add fried paneer.",Palak Paneer,Indian
6,"Cook for another 5 minutes, then serve hot with naan or rice.",Palak Paneer,Indian
1,Season veal shanks with salt and pepper and dredge in flour.,Osso Buco,Italian
2,Brown the veal shanks in a heavy pot with some olive oil.,Osso Buco,Italian
3,"Remove shanks and sauté onions, carrots, and celery until softened.",Osso Buco,Italian
4,"Deglaze the pot with white wine, then return the shanks to the pot.",Osso Buco,Italian
5,"Add broth until the shanks are nearly covered, bring to a boil, then reduce to a simmer.",Osso Buco,Italian
6,"Cover and cook slowly until the meat is tender, about 2 hours.",Osso Buco,Italian
7,Serve with gremolata on top.,Osso Buco,Italian
1,Cook spaghetti in salted boiling water until al dente.,Spaghetti Carbonara,Italian
2,Render pancetta in a pan until crispy.,Spaghetti Carbonara,Italian
3,Whisk eggs and Parmesan cheese together in a bowl.,Spaghetti Carbonara,Italian
4,"Drain pasta and mix into the pan with pancetta, off the heat.",Spaghetti Carbonara,Italian
5,"Quickly add egg and cheese mixture, stirring vigorously to create a creamy sauce.",Spaghetti Carbonara,Italian
6,Season with freshly cracked black pepper and serve immediately.,Spaghetti Carbonara,Italian
1,Mix egg yolks and sugar until pale and fluffy.,Tiramisu,Italian
2,Fold in mascarpone cheese gently.,Tiramisu,Italian
3,Dip ladyfingers in coffee mixed with a splash of coffee liqueur.,Tiramisu,Italian
4,"Layer the ladyfingers in a dish, spread over a layer of mascarpone mixture.",Tiramisu,Italian
5,Repeat layering and refrigerate for at least 4 hours.,Tiramisu,Italian
6,Dust with cocoa powder before serving.,Tiramisu,Italian
1,"Whisk together milk, cream, sugar, and matcha powder until the sugar dissolves.",Matcha Ice Cream,Japanese
2,Chill the mixture in the refrigerator for at least 2 hours.,Matcha Ice Cream,Japanese
3,Process in an ice cream maker according to the manufacturer's instructions.,Matcha Ice Cream,Japanese
4,"Freeze the churned ice cream until firm, about 2-3 hours.",Matcha Ice Cream,Japanese
1,"Prepare the broth by simmering chicken or pork bones with onions, garlic, and ginger.",Ramen,Japanese
2,"Strain the broth and season with soy sauce, miso, or salt.",Ramen,Japanese
3,Cook ramen noodles separately until just tender.,Ramen,Japanese
4,"In bowls, arrange cooked noodles, then pour hot broth over them.",Ramen,Japanese
5,"Top with slices of pork belly, soft-boiled eggs, green onions, and bamboo shoots.",Ramen,Japanese
1,Cook sushi rice and season with sushi vinegar.,Sushi Rolls (Maki Sushi),Japanese
2,Spread the cooled rice on a sheet of nori laid out on a bamboo mat.,Sushi Rolls (Maki Sushi),Japanese
3,"Place fillings like cucumber, avocado, and fish along the center of the rice.",Sushi Rolls (Maki Sushi),Japanese
4,"Roll the nori tightly using the bamboo mat, pressing firmly.",Sushi Rolls (Maki Sushi),Japanese
5,Slice the roll into 6-8 pieces with a sharp knife.,Sushi Rolls (Maki Sushi),Japanese
1,"Boil large cuts of meat until tender, then remove the meat and reserve the broth.",Beshbarmak,Kazakh
2,"Hand-make pasta dough, roll it out thinly, and cut into squares.",Beshbarmak,Kazakh
3,Cook the pasta squares in the remaining broth until tender.,Beshbarmak,Kazakh
4,Slice the boiled meat into bite-sized pieces.,Beshbarmak,Kazakh
5,"Layer the cooked pasta on a large serving platter, top with meat pieces, then ladle hot broth over the top.",Beshbarmak,Kazakh
6,Garnish with chopped parsley and serve.,Beshbarmak,Kazakh
1,Prepare the intestines by thoroughly cleaning and then soaking in cold water.,Kazy,Kazakh
2,"Cut the horse meat and fat into strips, season with salt, pepper, and minced garlic.",Kazy,Kazakh
3,Stuff the seasoned meat and fat tightly into the intestines.,Kazy,Kazakh
4,"Tie off the ends of the sausage and boil in water for an hour, or smoke for several hours until cooked through.",Kazy,Kazakh
5,Serve sliced with traditional sides of bread and onions.,Kazy,Kazakh
1,Drain the whey from sour milk or yogurt completely.,Kurt,Kazakh
2,Mix the curd with salt and press any remaining liquid out.,Kurt,Kazakh
3,Form the curd into small balls and cover them in cloth.,Kurt,Kazakh
4,"Leave the balls to dry in a cool, ventilated area until hard.",Kurt,Kazakh
5,Store in a dry place until ready to consume.,Kurt,Kazakh
1,"Marinate the meat in a mixture of lemon juice, garlic, ginger, and salt for at least 1 hour.",Nyama Choma,Kenyan
2,Prepare a charcoal grill or preheat a gas grill.,Nyama Choma,Kenyan
3,"Grill the meat over medium heat, turning regularly, until well browned and cooked to desired doneness.",Nyama Choma,Kenyan
4,Rest the meat for 10 minutes before slicing.,Nyama Choma,Kenyan
5,Serve with kachumbari (a fresh tomato and onion salad) and Ugali.,Nyama Choma,Kenyan
1,Heat oil in a pan over medium heat. Add onions and sauté until translucent.,Sukuma Wiki,Kenyan
2,Add minced garlic and continue to sauté for about 1 minute.,Sukuma Wiki,Kenyan
3,"Add the chopped collard greens, stirring to combine with the onions and garlic.",Sukuma Wiki,Kenyan
4,"Season with salt, pepper, and a pinch of cayenne for heat.",Sukuma Wiki,Kenyan
5,"Cover and simmer over low heat until the greens are tender, adding a little water if necessary.",Sukuma Wiki,Kenyan
6,Serve hot with Ugali or as a side dish to any meal.,Sukuma Wiki,Kenyan
1,Bring water to a boil in a large pot.,Ugali,Kenyan
2,"Slowly pour the cornmeal into the boiling water, stirring continuously with a wooden spoon.",Ugali,Kenyan
3,Continue to cook and stir until the mixture thickens and pulls away from the sides of the pot.,Ugali,Kenyan
4,Turn out the Ugali onto a plate and mold into a round shape.,Ugali,Kenyan
5,Serve hot with a stew or vegetables.,Ugali,Kenyan
1,Cook the rice according to package instructions.,Bibimbap,Korean
2,Prepare and sauté each vegetable separately in a pan with a small amount of oil.,Bibimbap,Korean
3,"Marinate beef slices in soy sauce, garlic, and sesame oil, then fry until cooked.",Bibimbap,Korean
4,"Fry an egg, keeping the yolk runny.",Bibimbap,Korean
5,"Assemble the dish by placing rice in a bowl, arranging the vegetables and beef on top, and placing the fried egg in the center.",Bibimbap,Korean
6,Serve with a dollop of gochujang on the side.,Bibimbap,Korean
1,"Prepare the dough with flour, sugar, milk, and yeast. Let it rise until doubled in size.",Hoddeok,Korean
2,"Mix brown sugar, chopped nuts, and cinnamon for the filling.",Hoddeok,Korean
3,"Divide the dough into balls, flatten them, and place a spoonful of filling in the center.",Hoddeok,Korean
4,Seal the dough around the filling and flatten into a pancake shape.,Hoddeok,Korean
5,Fry each pancake in a lightly oiled pan until golden brown on both sides.,Hoddeok,Korean
6,"Serve hot, allowing the syrupy filling to ooze out when bitten.",Hoddeok,Korean
1,"In a pot, sauté pork belly until browned, then add chopped kimchi and cook until soft.",Kimchi Jjigae,Korean
2,Add water or stock and bring to a boil.,Kimchi Jjigae,Korean
3,"Season with gochujang, gochugaru (Korean chili powder), and soy sauce.",Kimchi Jjigae,Korean
4,Add sliced tofu and simmer until all ingredients are well-cooked.,Kimchi Jjigae,Korean
5,Garnish with sliced green onions and serve hot with a bowl of rice.,Kimchi Jjigae,Korean
1,"Roast poblano peppers, peel off the skin, and remove seeds.",Chiles en Nogada,Mexican
2,"Prepare the picadillo by cooking ground meat with tomatoes, apples, pears, and peaches.",Chiles en Nogada,Mexican
3,Stuff the roasted chiles with the picadillo.,Chiles en Nogada,Mexican
4,"Prepare a sauce by blending walnuts with milk, sugar, and sherry until smooth.",Chiles en Nogada,Mexican
5,Cover the stuffed chiles with the walnut cream sauce.,Chiles en Nogada,Mexican
6,Garnish with pomegranate seeds and parsley before serving.,Chiles en Nogada,Mexican
1,Preheat the oven to 350°F (175°C).,Flan,Mexican
2,"Melt sugar in a pan until golden and pour into a round baking dish, swirling to coat the bottom.",Flan,Mexican
3,"Blend eggs, condensed milk, evaporated milk, and vanilla extract until smooth.",Flan,Mexican
4,Pour the custard mixture over the caramelized sugar.,Flan,Mexican
5,Place the dish in a larger baking pan and fill the pan with hot water halfway up the sides of the dish.,Flan,Mexican
6,"Bake in a water bath until set, about 45 minutes.",Flan,Mexican
7,Cool and refrigerate before serving. Invert onto a plate to serve.,Flan,Mexican
1,"Marinate thinly sliced pork in a blend of chilies, achiote paste, garlic, and pineapple juice overnight.",Tacos al Pastor,Mexican
2,Cook the pork on a vertical spit or in a very hot skillet until charred and tender.,Tacos al Pastor,Mexican
3,Chop the cooked pork into small pieces.,Tacos al Pastor,Mexican
4,Warm small corn tortillas and fill with pork.,Tacos al Pastor,Mexican
5,"Top with diced pineapple, chopped onions, and fresh cilantro.",Tacos al Pastor,Mexican
6,Serve with a squeeze of lime and salsa.,Tacos al Pastor,Mexican
1,Preheat the oven and grease the baking dish.,Baklava,Turkish
2,"Layer the filo dough in the dish, brushing each sheet with melted butter and sprinkling chopped nuts between some of the layers.",Baklava,Turkish
3,Cut the layered pastry into diamond or square shapes before baking.,Baklava,Turkish
4,Bake until golden and crisp.,Baklava,Turkish
5,"Immediately after baking, pour the prepared syrup evenly over the hot baklava.",Baklava,Turkish
6,Let cool to absorb the syrup before serving.,Baklava,Turkish
1,Grill seasoned lamb strips until well cooked.,İskender Kebab,Turkish
2,Toast pita bread lightly and cut into small pieces.,İskender Kebab,Turkish
3,Place the bread in a dish and cover with grilled lamb.,İskender Kebab,Turkish
4,Heat tomato sauce and pour over the meat.,İskender Kebab,Turkish
5,Melt butter and drizzle over the dish.,İskender Kebab,Turkish
6,Serve with a side of fresh yogurt.,İskender Kebab,Turkish
1,"Prepare the dough from flour, water, yeast, and salt. Let it rise for an hour.",Lahmacun,Turkish
2,"Mix minced meat with finely chopped bell peppers, tomatoes, onions, parsley, and spices.",Lahmacun,Turkish
3,Roll out the dough into thin circles and spread the meat mixture thinly on top.,Lahmacun,Turkish
4,"Bake in a very hot oven until the edges are crisp and browned, about 5 minutes.",Lahmacun,Turkish
5,"Serve hot, rolled up with a squeeze of lemon and optional garnishes like lettuce and sliced tomatoes.",Lahmacun,Turkish
1,"Prepare the dough by mixing flour, water, salt, and a bit of oil into a smooth, elastic dough. Let it rest.",Gutap,Turkmen
2,"For the filling, combine finely chopped spinach, green onions, dill, parsley, and optional cheese.",Gutap,Turkmen
3,"Divide the dough into small balls, roll each out thinly, place a spoonful of filling in the center, then fold and seal the edges.",Gutap,Turkmen
4,Fry each pie in hot oil until golden brown on both sides.,Gutap,Turkmen
5,Drain on paper towels and serve warm.,Gutap,Turkmen
1,Heat oil in a large pot and brown the lamb pieces until golden.,Palaw,Turkmen
2,Add chopped onions and grated carrots to the pot and sauté until softened.,Palaw,Turkmen
3,"Stir in rice, Turkmen saffron, and enough boiling water to cover the ingredients.",Palaw,Turkmen
4,Cook on low heat until the rice is fluffy and all the liquid is absorbed.,Palaw,Turkmen
5,"Serve hot, garnished with fresh herbs.",Palaw,Turkmen
1,"In a large pot, brown the lamb pieces to develop flavor.",Shurpa,Turkmen
2,"Add water and bring to a boil, skimming off any foam that forms on the surface.",Shurpa,Turkmen
3,"Add chopped potatoes, carrots, onions, and bell peppers to the pot.",Shurpa,Turkmen
4,"Season with salt, pepper, and a bouquet garni of local herbs.",Shurpa,Turkmen
5,Simmer gently until the meat is tender and vegetables are cooked.,Shurpa,Turkmen
6,"Serve hot, sprinkled with chopped herbs like dill and parsley.",Shurpa,Turkmen
1,Soak dried fruits in hot tea the night before baking to plump them up.,Bara Brith,Welsh
2,"Mix flour, sugar, and spices in a bowl.",Bara Brith,Welsh
3,"Add the soaked fruits with any remaining tea, followed by an egg, and mix to form a dough.",Bara Brith,Welsh
4,Pour the batter into a greased loaf pan.,Bara Brith,Welsh
5,Bake in a preheated oven at 350°F (175°C) for about 1.5 hours until risen and golden.,Bara Brith,Welsh
6,"Cool in the pan, then turn out onto a wire rack.",Bara Brith,Welsh
7,Slice and serve with butter.,Bara Brith,Welsh
1,"In a large pot, brown the lamb pieces, then remove and set aside.",Cawl,Welsh
2,"In the same pot, sauté onions, carrots, and leeks until slightly softened.",Cawl,Welsh
3,"Return the lamb to the pot, add potatoes, and cover with water or stock.",Cawl,Welsh
4,"Bring to a boil, then reduce to a simmer, covering and cooking for at least 3 hours until the meat is tender and the vegetables are cooked.",Cawl,Welsh
5,"Season with salt and pepper to taste, and add chopped parsley before serving.",Cawl,Welsh
6,"Serve hot, with a side of crusty bread.",Cawl,Welsh
1,"In a saucepan, melt butter and stir in the flour to make a roux.",Welsh Rarebit,Welsh
2,Gradually add beer to the roux while continuously stirring to create a smooth sauce.,Welsh Rarebit,Welsh
3,"Add grated cheese to the saucepan, stirring until the cheese is melted.",Welsh Rarebit,Welsh
4,"Season the cheese sauce with mustard, Worcestershire sauce, and a pinch of salt and pepper.",Welsh Rarebit,Welsh
5,Pour the hot cheese sauce over slices of toasted bread.,Welsh Rarebit,Welsh
6,Grill the topped bread under a broiler until bubbly and golden brown.,Welsh Rarebit,Welsh
7,Serve immediately.,Welsh Rarebit,Welsh
